JO_REQST_NO,JO_REGIST_NO,CMPNY_NM,BSNS_SUMRY_CN,RCRIT_JSSFC_CMMN_CODE_SE,JOBCODE_NM,RCRIT_NMPR_CO,ACDMCR_CMMN_CODE_SE,ACDMCR_NM,EMPLYM_STLE_CMMN_CODE_SE,EMPLYM_STLE_CMMN_MM,WORK_PARAR_BASS_ADRES_CN,SUBWAY_NM,DTY_CN,CAREER_CND_CMMN_CODE_SE,CAREER_CND_NM,HOPE_WAGE,RET_GRANTS_NM,WORK_TIME_NM,WORK_TM_NM,HOLIDAY_NM,WEEK_WORK_HR,JO_FEINSR_SBSCRB_NM,RCEPT_CLOS_NM,RCEPT_MTH_IEM_NM,MODEL_MTH_NM,RCEPT_MTH_NM,PRECENTN_PAPERS_NM,MNGR_NM,MNGR_PHON_NO,MNGR_INSTT_NM,BASS_ADRES_CN,JO_SJ,JO_REG_DT,GUI_LN,latitude,longitude
J301202401250003,DdA3012401252108,(주)아람인테크,"파견, 도급, 헤드헌팅",531205,사업체 구내식당 급식 조리사,1,J00100,관계없음,J01101,상용직,서울 강남구,,우대사항 : 한식조리사 자격증 소지자,J01300,무관,월급 / 137만원 ,퇴직금,06:00~11:30,주간,주5일근무,25,국민연금 고용보험 산재보험 건강보험,마감일 (2024-03-22),,서류  면접   ,전자우편 기타  ,,김유진,02-2148-3958,종로구,"서울특별시 강남구 논현로 416  (역삼동) 7동 (역삼동,운기빌딩)",주방 보조원,2024-01-25,(월급)137만원 / 서울 서초구 / 경력 무관,37.497401,127.038908
J301202401250004,DdA3012401252127,(주)아람인테크,"파견, 도급, 헤드헌팅",532302,단체 급식 보조원,1,J00100,관계없음,J01101,상용직,서울 강남구,,"병원 구내식당 보조원

우대사항 : 한식조리사 자격증 소지자",J01300,무관,월급 / 219만원 ,퇴직금,"10:00~19:00 ( 목요일~월요일 근무 / 화, 수 휴일 )",주간,"기타(화요일, 수요일)",40,국민연금 고용보험 산재보험 건강보험,마감일 (2024-03-22),,서류  면접   ,전자우편 기타  ,,김유진,02-2148-3958,종로구,"서울특별시 강남구 논현로 416  (역삼동) 7동 (역삼동,운기빌딩)",단체급식 주방보조,2024-01-25,(월급)219만원 / 서울 서초구 / 경력 무관,37.497401,127.038908
J303202401290005,DdA3032401292013,시온사랑 데이케어센터,데이케어센터 주야간보호센터 재가장기요양기관,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 용산구,,"[ 강남역인근 서초파라곤 오피스텔 거주 ] 4등급 할머니 오후 케어
 
- 직무내용:  가사도움, 주변정리, 병원동행 등 일상생활지원

- 장기요양급여 적용 근로시간: 1일 3시간 

- 근무시간: 13:00~16:00

- 주5일 근무

- 시급 14,000원",J01300,무관,시급 / 14000원 ,퇴직금,13:00~16:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,마감일 (2024-03-15),,면접    ,방문 기타  ,,함희영,02-2199-4537,용산구,서울특별시 용산구 한강대로62나길 6  (한강로1가) 1층,[강남역/오후/4등급] 재가요양보호사 모집,2024-01-29,(시급)14000원 / 서울 서초구 / 경력 무관,37.533987,126.9742
J319202401290001,DdA3192401292012,(주)듀델코리아,건물관리 경비업 위생관리,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,J00100,관계없음,J01102,계약직,경기 양주시,,"양주 옥정 더원파크빌리지 
아파트 미화원 /신주없음
월1.696.520원  /근무조는 반장님과 상의

 - 오전조08:30~16:00(평일) 08:30~16:00(토요격주)
 - 오후조15:00~22:00(평일) 15:00~18:00(매주)
휴게시간 1시간 30분) 11:30~13:00

전화지원 : 010-6548-5773 정미화 반장",J01300,무관,시급 / 9860원 ,해당없음,08:30~16:00/15:00~22:00,주간,주6일근무,33,고용보험 산재보험 건강보험 국민연금,마감일 (2024-03-02),사무실,서류  면접   ,기타   ,,추희은,02-2670-3797,영등포구,서울특별시 구로구 개봉로6길 12 -5 (개봉동) 1142 한아마인드@상가 802,아파트 미화원 - 양주 옥정 더원파크빌리지,2024-01-29,(시급)9860원 / 경기 양주시 / 경력 무관,,
J320202401290006,DdA3202401292132,문화벤딩,벤딩작업으로 어떤 물체를 구부러지게 변형시키는 작업과정을 말합니다,27200,경리 사무원,1,J00100,관계없음,J01101,상용직,서울 영등포구,,"영등포구 문래동3가) 문화벤딩 경리직원 : 사무경리

- 주5일 08:30~17:30 , 휴게시간 12:00~13:00
- 급여 : 230만원, 1년후 상여금 100%
- 전화후 방문: 010-8835-2726 /02-2679-9408
** 경력자 우대",J01300,무관,월급 / 230만원 ,퇴직금,08:30~17:30,주간,주5일근무,40,고용보험 산재보험 건강보험 국민연금,마감일 (2024-02-29),,면접    ,방문   ,,박명숙,02-820-9376,동작구,서울특별시 영등포구 도림로126길 15  (문래동3가) 2,(영등포구 문래동3가) 경리직원 구인(* 접수마감 : 2월 29일),2024-01-29,(월급)230만원 / 서울 영등포구 / 경력 무관,37.514499,126.896562
J111202401290001,DdA1112401292004,주식회사 태은환경,"소독업, 청소업, 건물관리용역업",561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",2,J00100,관계없음,J01101,상용직,서울 동대문구,답십리,"답십리 두산위브 아파트 공용부분 청소
평일 09:00~15:30(휴게 2시간), 
토요일 09:00~12:00
월 1,285,750원",J01300,무관,월급 / 128만원 ,퇴직금,09:00-15:30,주간,주6일근무,25,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-29),,면접    ,방문 전자우편  ,,이윤문,02-3295-0092,동대문고령자취업알선센터,서울특별시 도봉구 도봉로 851  (도봉동) 럭키상가 204호,아파트 미화원 모집,2024-01-29,(월급)128만원 / 서울 동대문구 / 경력 무관,37.524936,126.925309
J501202312270001,DdA5012312272002,주식회사 유알피,"소프트웨어개발, 서버관리및유지보수, 연구개발업",531700,음료 조리사(바리스타 포함),1,J00100,관계없음,J01105,상용직(시간제),서울 강서구,증미,"08:30~13:00 오전(오픈) / 13:00~17:00 오후(마감)  
2교대 사내카페 바리스타 
장애인(청각) 우대",J01300,무관,시급 / 9860원 - 면접 후 협의가능 ,퇴직금,"08:30~13:00, 13:00~17:00",2교대,주5일근무,20,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-26),서울특별시 강서구 양천로 570  (등촌동) NH서울타워 5층 (주)유알피,서류  면접   ,온라인 전자우편  ,,김정,070-4827-1629,서울시장애인일자리통합지원센터,서울특별시 강서구 양천로 570  (등촌동) NH서울타워 5층 (주)유알피,사내카페 바리스타 채용,2023-12-27,(시급)9860원 / 서울 강서구 / 경력 무관,37.556632,126.861716
J314202401220005,DdA3142401222021,대건재가복지센터,재가장기요양,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 마포구,마포구청,"[성산동/오후] 4등급 할머니 재가요양보호사 구인
- 가사 및 일상생활 도움
- 주5일, 13:00~16:00시, 시급 12,500원
* 마포구청역 도시개발공사성산아파트",J01300,무관,시급 / 12500원 ,퇴직금,13:00~16:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-25),,서류  면접   ,방문 기타  ,,조주은,02-3153-9951,마포구,서울특별시 마포구 동교로9길 33  (망원동) (대건재가복지센터),[성산동/오후] 4등급 어르신 요양보호사 채용,2024-01-22,(시급)12500원 / 서울 마포구 / 경력 무관,37.555232,126.909766
J307202401290012,DdA3072401292090,다모아재가복지센터,방문요양,550104,재가 요양보호사,1,J00100,관계없음,J01101,상용직,서울 노원구,하계,"- 4등급, 여자어르신, 거동가능
- 식사.가사도움, 일상생활지원
- 09:00-12:00, 주5일
- 시급 12,500원
- 하계역인근 장미아파트",J01300,무관,시급 / 12500원 ,퇴직금,09:00-12:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-20),,면접    ,방문   ,,구현옥,02-2094-2245,중랑구,서울특별시 중랑구 답십리로81길 122  (면목동) 3층,"(하계역인근, 4등급, 오전) 재가요양보호사 구인공고",2024-01-29,(시급)12500원 / 서울 노원구 / 경력 무관,37.668585,127.080031
J307202401160005,DdA3072401162072,구립키즈어울림어린이집,어린이집으로 만 0~2세까지 보육하며 20명 소규모 국공립어린이집,531203,유치원·어린이집 급식 조리사,1,J00106,고등학교,J01101,상용직,서울 중랑구,,"* 망우동, 금호 어울림 어린이집(20명 소규모) 급식 조리사
* 경의중앙선 양원역 3번 출구로부터 500m, 동부제일병원 뒤
* 한식 조리사 자격증 필수, 경력 1년 이상 우대
* 식단표대로 조리(기본 컴퓨터 활용)
* 주 5일  근무시간 9~18시(조정 가능), 휴게시간 13~14시
* 월급 2,060,740원 + 호봉 12만원(구 지원)",J01300,무관,월급 / 207만원 ,퇴직금,09:00~18:00,주간,주5일근무,40,고용보험 산재보험 건강보험 국민연금,마감일 (2024-02-20),,서류  면접   ,전자우편   ,,김민정,02-2094-2243,중랑구,서울특별시 중랑구 양원역로 18  (망우동) 금호어울림어린이집,망우동 금호어울림어린이집 급식조리사 채용,2024-01-16,(월급)207만원 / 서울 중랑구 / 경력 무관,,
